这款性价比真的不行，系统稳定性差，外观设计也不行。,价格-性价比-差,软件-系统-差,系统属性-系统稳定性-差,外观-外观设计-差,
用了几天才来评价，像素差，拍照片很失望，音质也不好。,摄像头属性-像素-差,硬件-拍照-差,硬件-音质-差,,
手机发热，屏幕不太行，耗电量大,电池属性-发热-差,硬件-屏幕-差,电池属性-耗电量-差,,
糟糕透顶了，才买几天，又降价一百块,价格-降价-差,,,,
摄像头外镜片松动，细节很多不到位，电量也没那么耐用,硬件-摄像头-差,摄像头属性-外镜片-差,电池属性-电量-差,,
系统不好用，信号不好，垃圾,软件-系统-差,网络与连接-信号-差,,,
散热不行，打王者60帧，高画质热的烫手,电池属性-散热-差,,,,
手机机身有点厚，没有通话自动录音,外观-机身-差,,,,
使用起来困难，电话信号差，打开软件会慢1秒这样,网络与连接-信号-差,系统属性-打开软件-差,,,
电池不耐用！！体验差！大家想清楚再买,硬件-电池-差,,,,
系统卡的要死，刚开始还行，游戏俩小时后彻底卡死,软件-系统-差,,,,
面部解锁差，在灯光昏暗的地方无法解锁。屏幕反应不灵敏,功能-面部解锁-差,硬件-屏幕-差,屏幕属性-屏幕反应-差,,
手机充电发烫，多用点时间也要发烫,电池属性-充电-差,,,,
这手机不好，面部识别，指纹解锁这些不行,功能-面部识别-差,功能-指纹解锁-差,,,
电池不耐用，头天晚上充满，第二天用不了一天,硬件-电池-差,,,,
手机耗电量超快，而且充电手机发烫，后悔啊,电池属性-耗电量-差,电池属性-充电-差,,,
耳机孔接触不良，耳机不能用,硬件-耳机孔-差,,,,
信号真的很差，只有两格，太失望了,网络与连接-信号-差,,,,
手机有问题，听语音声音不清楚,硬件-声音-差,,,,
系统时不时卡死几秒钟，然后过会儿又好了。,软件-系统-差,,,,
提前付了定金，到货时间也晚了，包装有损坏,服务-到货时间-差,服务-包装-差,,,
老爸用了一个月，系统各种卡顿，真的差。使用20余天后，充电时使用手机，开始出现屏幕失灵，打字连跳，找售后处理，实在不便,软件-系统-差,电池属性-充电-差,硬件-屏幕-差,服务-售后-差,
帮别人买的，当事人说续航翻车，耗电快,电池属性-续航-差,电池属性-耗电-差,,,
谁买谁后悔，一晚待机去了20%电量,电池属性-待机-差,,,,
NFC是个装饰品，公交卡都读不出来，耗电快,功能-NFC-差,电池属性-耗电-差,,,
充电几个小时都充不完，充电10几分钟才充1格电,电池属性-充电-差,,,,
买回来外壳就有瑕疵划痕,外观-外壳-差,,,,
拆开包装发现音量键不回弹是坏的,硬件-音量键-差,,,,
不知道啥原因网络波动有时候很大，玩和平精英的时候有时候触屏不灵敏,网络与连接-网络-差,屏幕属性-触屏-差,,,
拍摄效果不好，运行也不流畅。,摄像头属性-拍照效果-差,系统属性-运行-差,,,
电池不耐用，充电还慢。,硬件-电池-差,电池属性-充电-差,,,
系统卡顿，而且屏下指纹真心不好用，价格起起伏伏，买了半个月不到，618就做活动降价300多，伤了！,软件-系统-差,功能-屏下指纹-差,价格-价格-差,价格-降价-差,
外放音质还可以吧，蓝牙耳机不好用，声音很小！ ,硬件-外放音质-中性,配件-蓝牙耳机-差,,,
屏幕显示不是很清晰，触屏还可以，但是出厂没有贴膜，客服却说有的，纯属骗人嘛，还解释说对不起，有毛线用啊，有问题再说吧,屏幕属性-屏幕显示-差,屏幕属性-触屏-中性,配件-贴膜-差,服务-客服-差,
渣渣像素，渣渣分辨率，已经退货,摄像头属性-像素-差,屏幕属性-分辨率-差,,,
屏幕色彩非常糟糕，不建议购买。真实评价,屏幕属性-屏幕色彩-差,,,,
续航差，不到9个小时，小游戏不到5个小时，系统反应慢，真想不到骁龙616这样差，华为这样的产品丢人,电池属性-续航-差,系统属性-系统反应-差,,,
快递比蜗牛还慢，差不多等了我一个星期,服务-快递-差,,,,
包装太差，一点保护措施没有,服务-包装-差,,,,
屏幕尺寸太小了，后悔了，想换一个，屏幕小，看着不好。,屏幕属性-屏幕尺寸-差,,,,
电池不耐用，待机时间就一天多点，无语,硬件-电池-差,电池属性-待机时间-差,,,
现在的价格比秒杀还便宜 就差一天 真是无语,价格-价格-差,,,,
电池不行，反应问题客服也不管，还说是正常,硬件-电池-差,服务-客服-差,,,
货用了不到一个月喇叭就坏了,硬件-喇叭-差,,,,
很差，指纹解锁啥的都不能用,功能-指纹解锁-差,,,,
指纹识别不管用，耳机听不清，触屏不敏感，这一星我给快递吧。,功能-指纹识别-差,配件-耳机-差,屏幕属性-触屏-差,,
屏幕清晰度不好，触屏还必须使劲，真是一分钱一分货啊，肠子都毁青了。,屏幕属性-清晰度-差,屏幕属性-触屏-差,,,
拍照模糊，手机分辨率很低，看视频什么的一点都不清楚，还真是垃圾，劝大家不要买,硬件-拍照-差,屏幕属性-分辨率-差,,,
物流给我压了3天才送过来，说实话，这1星都不想给！,服务-物流-差,,,,
不怎么样，分辨率很低，而且系统很卡，很坑。别买。,屏幕属性-分辨率-差,软件-系统-差,,,
新机电池也太不耐用了，用了两天想换货的，京东又说拿回去检测什么，还不给备用机。唉，京东售后越来越失望了。,硬件-电池-差,服务-售后-差,,,
真讨厌买了就降价,价格-降价-差,,,,
外观有明显瑕疵，后壳上有多个小孔（气孔），怀疑是喷漆产生的。要求更换，客服竟然说不拿新机来换，太不满意了。,外观-外观-差,外观属性-后壳-差,服务-客服-差,,
屏幕不怎么好，只能说将就用,硬件-屏幕-中性,,,,
看电视屏幕会闪屏，不好。这个价格不值得，亏死了,硬件-屏幕-差,价格-价格-差,,,
客服服务差，机子买回来用两天有问题咨询，客服直接是哑巴,服务-客服-差,服务-客服-差,,,
这么小的电池容量，光待机都不能到一天，只能插着充电器当座机用，真不如买小米了，头一次买华为，真不值。,电池属性-电池容量-差,电池属性-待机-差,,,
分辨率不高，有点后悔买这个，听说小米在这个价位，质量会好点。,屏幕属性-分辨率-差,,,,
机身厚度太厚，分辨率太差，看什么都花，像打了马赛克。,外观属性-机身厚度-差,屏幕属性-分辨率-差,,,
手机散热不好，很热，买完没几天就降价，无语。,电池属性-散热-差,价格-降价-差,,,
感觉不太行，容易发热，而且发热的时候运行变慢,电池属性-发热-差,系统属性-运行-差,,,
客服太差劲了，维修弄了半个月也审核不通过。建议嫌麻烦人不要买，机子才用半个月主机就坏了，不能开机也不能充电。,服务-客服-差,功能-开机-差,电池属性-充电-差,,
充电也太慢了，两个小时才充了百分之二十的电，画面清晰度也不行。,电池属性-充电-差,屏幕属性-画面-差,屏幕属性-清晰度-差,,
系统太卡，屏幕一点都不清楚，电池也充不满，微信扫描二维码也扫不上，这么多问题还不给退货。劝大家千万不要买。,软件-系统-差,硬件-屏幕-差,硬件-电池-差,,
系统卡机，像素不清，屏幕分辨率不清，反应慢。,软件-系统-差,摄像头属性-像素-差,硬件-屏幕-差,屏幕属性-分辨率-差,系统属性-反应-差
连接不靠谱，上网网络有限制。,网络与连接-连接-差,网络与连接-网络-差,,,
无线信号不好，5G经常连不上，照相机没见过这么烂的。,网络与连接-无线信号-差,网络与连接-5G-差,硬件-照相机-差,,
系统运行一点都不流畅，反应慢，屏幕显示效果一般，总体一般。,系统属性-系统运行-差,系统属性-反应-中性,硬件-屏幕-差,屏幕属性-显示效果-中性,
屏幕颗粒感很强，大黑边，厚度很厚，不知是几几年的产品了！,硬件-屏幕-差,屏幕属性-颗粒感-差,外观属性-厚度-差,,
屏幕画面不清晰，音质还差，总之来说就是差。,屏幕属性-屏幕画面-差,,,,
售后服务真差，开个发票要给你废话半天,服务-售后-差,,,,
屏幕显示不清晰，相机拍的照片跟200万像素有的一拼，充电慢。,屏幕属性-屏幕显示-差,硬件-相机-差,摄像头属性-照片-差,电池属性-充电-差,
不是很好，屏幕有点问题，插卡也有问题。,硬件-屏幕-差,,,,
这送货速度是真的慢，等的人心急死,服务-送货速度-差,,,,
刚买完就降价，报价还没结束就预热降价五百，找客服就一句非常抱歉！,价格-降价-差,,,,
屏幕发热，不打游戏，刷抖音屏幕都感觉热。相机一般没有感觉比小米9，好到哪去，虽然是四摄。刚刚买上就降价200。,硬件-屏幕-差,硬件-相机-中性,价格-降价-差,,
充电太慢，耗电太快。GPU不行，别的还行。价格波动频繁还不给保价，恶心的京东！,电池属性-充电-差,电池属性-耗电-差,价格-价格-差,,
屏幕不太好，网络有些卡,硬件-屏幕-差,网络与连接-网络-差,,,
触屏有问题，按着屏幕图标拖一会儿，就会失灵，玩王者荣耀，方向控制轮 盘，控制一会也会失灵,屏幕属性-触屏-差,,,,
系统不能更新升级，内存太小，分辨率太差，像素低的一塌糊涂，颜值低到下水道了，各种差！,软件-系统-差,硬件-内存-差,屏幕属性-分辨率-差,摄像头属性-像素-差,外观-颜值-差
分辨率不好，屏幕灵敏度不高。快递员不给力，送不到地方，还得自己取。,屏幕属性-分辨率-差,屏幕属性-屏幕灵敏度-差,服务-快递-差,,
屏幕不好，里面有一条条竖纹,硬件-屏幕-差,,,,
屏幕上下右边明显黄屏，已经申请换货了。,硬件-屏幕-差,,,,
屏幕拖影非常严重，非常非常严重，好在只是用来看视频，视频还能接受，屏幕色彩跟电脑差距好大,硬件-屏幕-差,屏幕属性-屏幕色彩-差,,,
屏幕分辨率不高，主要是运行起来卡的厉害，外壳劣质，是个塑料壳，总以为是个一体化的金属壳。,硬件-屏幕-差,屏幕属性-分辨率-差,系统属性-运行-差,外观-外壳-差,
电池电量消耗很快，运行卡顿现象比较常见。,硬件-电池-差,电池属性-电量-差,系统属性-运行-差,,
声音不好，屏幕不清楚，灵敏度不够。,硬件-声音-差,硬件-屏幕-差,屏幕属性-灵敏度-差,,
音质差强人意，物流配送不给力。,硬件-音质-差,服务-物流-差,,,
内存跟实际的不一样下载30集连续剧就没内存了。,硬件-内存-差,,,,
清晰度大差了，没有想象中那么好。,屏幕属性-清晰度-差,,,,
像素很差，屏幕分辨率也不行。,摄像头属性-像素-差,硬件-屏幕-差,屏幕属性-分辨率-差,,
WIFI网络不稳定，客服态度太差。,网络与连接-WIFI网络-差,服务-客服-差,,,
快递慢的和爬一样，和平时京东真的不一样,服务-快递-差,,,,
待机一般，清晰度差，选择大字体根本就是模糊了，图便宜将就吧,电池属性-待机-差,屏幕属性-清晰度-差,,,
手机非常差，使用一段时间才知道。屏幕显示不好，照相效果非常差，最要命的是听音乐的音质那么烂。,屏幕属性-屏幕显示-差,摄像头属性-照相效果-差,硬件-音质-差,,
小米的质量还行，做工也还行，手感一般般，颜色还行。,外观属性-质量-中性,外观属性-做工-中性,外观属性-手感-差,外观属性-颜色-中性,
机身尺寸大小不合适，拍照效果差，电池续航不行。,外观-机身-差,外观属性-尺寸-差,摄像头属性-拍照效果-差,电池属性-电池续航-差,
通信音质很一般，运行速度还慢。,硬件-通话音质-差,系统属性-运行速度-差,,,
外观好难看，手感太差了，最差的就是音质了，差的过分。,外观-外观-差,外观属性-手感-差,硬件-音质-差,,
手机手感不好，尺寸大小不合手，内存空间也没有说的那么多。,外观属性-手感-差,外观属性-尺寸-差,硬件-内存-差,,
系统运行不流畅，拍照不清晰，像素太差了。,软件-系统-差,系统属性-系统运行-差,摄像头属性-像素-差,,
手机运行速度慢，拍照不清晰，音效更是差劲。,系统属性-运行速度-差,硬件-拍照-差,硬件-音效-差,,
拍照效果不好，电池超级不耐用，发热严重，屏幕显示效果还行吧。,摄像头属性-拍照效果-差,硬件-电池-差,电池属性-发热-差,硬件-屏幕-中性,屏幕属性-显示效果-中性
手机没质感，声音不好听，运行速度也很慢。,外观属性-质感-差,硬件-声音-差,系统属性-运行速度-差,,
物流真的慢，运行不流畅，电池不耐用。,服务-物流-差,系统属性-运行-差,硬件-电池-差,,
一星都不想给，产品很耗电，电池没有想象中那么大，耗电量很快。,电池属性-耗电-差,硬件-电池-差,电池属性-耗电量-差,,
屏幕绿边比较严重，电池还可以，基本上一天一充，运行不大流畅。,硬件-屏幕-差,硬件-电池-差,系统属性-运行-差,,
像素超级差，电池还可以，通话音质差。,摄像头属性-像素-差,硬件-电池-差,硬件-通话音质-差,,
运行慢，分辨率超低，看着不清晰，一点都不喜欢。,系统属性-运行-差,屏幕属性-分辨率-差,,,
发热厉害，电池续航差，待机差。,电池属性-发热-差,电池属性-电池续航-差,电池属性-待机-差,,
拍照效果差，像素低，发货慢，电池续航差。,摄像头属性-拍照效果-差,摄像头属性-像素-差,电池属性-电池续航-差,,
电池有问题，电量掉得也太快了，还没我两年前的小米9电池耐用！,硬件-电池-差,电池属性-电量-差,,,
手机还可以，没有耳机，送货速度有点慢。,配件-耳机-差,服务-送货速度-差,,,
手机发烫，电池耗电快，慎买！,电池属性-发烫-差,硬件-电池-差,电池属性-耗电-差,,
快递是真的难，包装也很简陋。,服务-快递-差,服务-包装-差,,,
手机发热，屏幕不太行，耗电量大,电池属性-发热-差,硬件-屏幕-差,电池属性-耗电量-差,,
买了就降价，发热大，品控差,价格-降价-差,电池属性-发热-差,,,
手机降价很快，不值得购买！,价格-降价-差,,,,
震动声音非常小考虑好再买,硬件-震动声音-差,,,,
续航差，客服多次电话骚扰,电池属性-续航-差,,,,
不是很好，信号不稳定，还会自己断网，最好不要在这家买。,网络与连接-信号-差,网络与连接-断网-差,,,
耗电有点快，放一晚上起来没电了，什么原因啊,电池属性-耗电-差,,,,
断流太明显了，红外遥控也是坏的。,功能-红外遥控-差,,,,
还是那么差，发热，运行卡顿，只能当个备用手机。,电池属性-发热-差,系统属性-运行-差,,,
信号不好，流量总是联不上网。,网络与连接-信号-差,,,,
这手机侧边指纹设计是真的太不方便了，也不灵敏,功能-侧边指纹-差,,,,
信号很差，其他都很完美,网络与连接-信号-差,,,,
小米的系统越来越乱，大家不要买。,软件-系统-差,,,,
机身弯曲有瑕疵，手拿握感明显，太差了。,外观-机身-差,机身属性-握感-差,,,
充电都充不进去了，才用一个月。,电池属性-充电-差,,,,
没买几天降价太多，接受不了,价格-降价-差,,,,
物流很慢，客服服务很差，不满意,服务-物流-差,服务-客服-差,,,
售后不好，活动规则不明确写清楚,服务-售后-差,,,,
才用了一个月，系统开始卡死，屏幕还闪屏。,软件-系统-差,硬件-屏幕-差,,,
激活了才发现手机屏幕花了,硬件-屏幕-差,,,,
手机运行卡顿，更换售后服务不好,系统属性-运行-差,服务-售后-差,,,
这反应速度太次了，还没有之前用的8快。,系统属性-反应速度-差,,,,
买了不到一个月降价500，当时送货速度还贼慢，还没货。,价格-降价-差,服务-送货速度-差,,,
客服服务不咋地，可能是比较忙吧，找不到人。,服务-客服-差,,,,
上午到货，晚上发现摄像头里面有个灰尘，客服还不给解决，真差劲。,硬件-摄像头-差,服务-客服-差,,,
无线网老是连不上，显示密码错误。,网络与连接-无线网-差,,,,
经常找不到SIM卡，无信号，是什么情况,网络与连接-SIM卡-差,网络与连接-信号-差,,,
前置摄像头有东西，联系三天了也没客服来解决,硬件-前置摄像头-差,服务-客服-差,,,
新手机音量键坏了，按键无反应，换新时间长。,硬件-音量键-差,,,,
打着打着屏幕触屏不灵，卡住了，咋回事,硬件-屏幕-差,,,,
摄像头有灰，换货效率低。,硬件-摄像头-差,服务-换货-差,,,
电池不经用，一天得充二三次。,硬件-电池-差,,,,
手机运行卡顿老闪退，触屏不灵都是问题,系统属性-运行-差,屏幕属性-触屏-差,,,
打电话音质有问题，有呲呲的电流声,硬件-音质-差,,,,
屏幕卡顿，售后服务不到位,硬件-屏幕-差,服务-售后-差,,,
没有充电器，客服不给解决,配件-充电器-差,服务-客服-差,,,
屏幕发黄，分辨率贼低，不建议买,硬件-屏幕-差,屏幕属性-分辨率-差,,,
功能不全，没有NFC功能，准备换货,功能-NFC-差,,,,
外观还行吧，上学时期的三星既视感，屏幕和音效一般，总体还行。,外观-外观-中性,硬件-屏幕-中性,硬件-音效-中性,,
运行速度还行，外观不大行，通知栏也不人性化。,系统属性-运行速度-中性,外观-外观-差,功能-通知栏-差,,
拍照效果五年前水平都不到，只能放大十倍，一点都不防抖，抖的特别厉害还不清晰，拍照效果真的不知道怎么吹出来的。,摄像头属性-拍照效果-差,摄像头属性-防抖-差,,,
屏幕偏黄灰不好看，音效还可以。,硬件-屏幕-差,硬件-音效-中性,,,
拍照效果真心还不如千元机，吹的一亿和人家4000一个样，还抖的亲妈都不认识。,摄像头属性-拍照效果-差,,,,
外观设计还可以，但是说天花板太不够格了。,外观-外观-中性,外观属性-设计-中性,,,
屏幕太差了，感觉图标有磨砂感，蒙着一层纱的感觉，显示颜色不太纯净，觉得手机图标盗版的一样，一点都不惊艳，很低端机的感觉。,硬件-屏幕-差,屏幕属性-显示颜色-差,,,
耳机不配，指纹解锁不太灵敏，应该属于两千左右价位机型，不值这个价钱。,配件-耳机-差,功能-指纹解锁-差,价格-价钱-差,,
垃圾手机在地铁里一个小时的路程刷不出三个视频，做的好看有什么用，网络连接非常差，总是网络连接失败。,网络与连接-网络连接-差,,,,
首先外观不是想象中的好看，其次一亿像素就是个垃圾，照相容易糊，和之前几千万像素的没有区别，我就冲着这两样买的，结果一样都不满意，到手就想退了的，又觉得麻烦，相当不推荐。,外观-外观-差,摄像头属性-像素-差,硬件-照相-差,,
这像素也太差了吧，还一亿的像素，从十楼往下拍的都模糊成这样，这不是蒙人的吗？,摄像头属性-像素-差,,,,
包装里面没有保护壳，插针等配件，运行卡顿，像素不好。,配件-保护壳-差,配件-插针-差,系统属性-运行-差,摄像头属性-像素-差,
信号差的要死，手机系统太不行了吧，玩游戏老是卡，有时候还没信号。,网络与连接-信号-差,软件-系统-差,,,
手机音质一点也不好，运行还卡顿。,硬件-音质-差,系统属性-运行-差,,,
手机机身重量过于笨重，这价格真不值。,外观-机身-差,外观属性-重量-差,,,
电量不耐用啊，外观勉强还算可以，性价比不高。,硬件-电池-差,外观-外观-中性,价格-性价比-差,,
电池一般吧，也就用一天，还得说不怎么玩。,硬件-电池-差,,,,
信号不稳定，很多地方没有网络。,网络与连接-信号-差,,,,
客服回应慢，而且刷新率只有60没有120，这不骗人吗,服务-客服-差,屏幕属性-刷新率-差,,,
屏幕模糊不清，放视频、人脸模糊，像素也很差。,硬件-屏幕-差,摄像头属性-像素-差,,,
"这手机NFC有问题，问了小米三个客服也解决不了。",功能-NFC-差,服务-客服-差,,,
这个像素1亿有点假，第一个是荣耀9，第二个是本机。,摄像头属性-像素-差,,,,
系统卡顿，电池续航差，还不如我两年前买的华为手机。,软件-系统-差,硬件-电池-差,电池属性-续航-差,,
难道没人相机打开后移动会卡顿吗，像素也不如说的那么好，差劲。,硬件-相机-差,摄像头属性-像素-差,,,
系统垃圾，广告多，运行有卡顿现象，性价比不高。,软件-系统-差,系统属性-运行-差,价格-性价比-差,,
屏幕有问题，有时候屏幕会绿屏一下，给我的不是假的吧。,硬件-屏幕-差,,,,
用起还行，说好的1亿像素呢，一点也不高清。,摄像头属性-像素-差,,,,
刚买来，打开屏幕有划痕，找客服也不理睬，售后太差了吧。,硬件-屏幕-差,服务-客服-差,服务-售后-差,,
刷新率有点缓慢，当天拿到当天碎屏，修了后盖花了130，后盖质量太差了，100%豆腐渣。,屏幕属性-刷新率-差,外观属性-后盖质量-差,,,
手感还行吧，充电根本没有说的那么快，续航也不行。,外观属性-手感-中性,电池属性-充电-差,电池属性-续航-差,,
用了一般般，拍照也普通，电池很不耐用，系统还卡顿。,硬件-拍照-差,硬件-电池-差,软件-系统-差,,
手机充电发烫，其他还好。,电池属性-充电发烫-差,,,,
系统广告太多，手感不好，音效不行。,软件-系统-差,外观属性-手感-差,硬件-音效-差,,
耗电太快，运行还卡，售后也不行。,电池属性-充电-差,系统属性-运行-差,服务-售后-差,,
手机好看是好看的，网络特别差。充电不够快，机身太厚，不喜欢。,网络与连接-网络-差,电池属性-充电-差,外观-机身-差,,
总体来说感觉还是可以，就是1亿像素太缩水了，电池确实可以。,摄像头属性-像素-差,硬件-电池-中性,,,
